;LogisticRegressionCV;DecisionTreeClassifier;SVC;XGBClassifier;MLPClassifier;RandomForestClassifier
725;0;3;0;7;0;7
726;0;2;0;8;0;8
727;0;2;0;9;0;8
728;0;2;0;8;0;9
729;0;2;0;9;0;8
730;0;2;0;8;0;11
731;0;2;0;6;0;10
732;0;0;0;6;0;8
733;0;2;0;7;0;8
734;0;1;0;6;0;8
735;0;1;0;6;0;6
736;0;0;0;7;0;9
737;0;2;0;5;0;11
738;0;2;0;7;0;12
739;0;2;0;9;0;8
740;0;3;0;6;0;12
741;0;2;0;6;0;7
742;0;2;0;6;0;7
743;0;2;0;9;0;9
744;0;2;0;7;0;10
745;0;3;0;6;0;9
746;0;2;0;6;0;10
747;0;2;0;6;0;10
748;0;1;0;8;0;12
749;0;1;0;4;0;11
750;0;2;0;7;0;8
751;0;3;0;9;0;10
752;0;3;0;9;0;10
753;0;1;0;9;0;10
754;0;1;0;9;0;10
755;0;1;0;7;0;11
756;0;0;0;7;0;10
757;0;3;1;8;0;10
758;0;3;1;8;0;10
759;0;2;0;7;0;15
760;0;2;0;8;0;13
761;0;3;1;8;0;7
762;0;2;0;7;0;10
763;0;2;0;7;0;6
764;0;2;0;10;0;6
765;0;2;0;8;0;9
766;0;2;0;8;0;9
767;0;2;0;8;0;9
768;0;3;0;7;0;11
769;0;2;0;9;0;9
770;0;1;0;8;0;12
771;0;1;0;8;0;12
772;0;1;10;6;0;11
773;0;1;9;9;0;10
774;0;2;10;10;0;10
775;0;2;0;7;0;8
776;0;3;0;8;0;11
777;0;3;0;9;0;11
778;0;2;0;13;0;13
779;0;1;0;10;0;7
780;0;2;0;11;0;13
781;0;2;0;10;0;11
782;0;2;0;9;0;8
783;0;2;0;10;0;10
784;0;2;0;10;0;10
785;0;2;0;6;0;12
786;0;2;0;6;0;10
787;0;2;0;6;0;10
788;0;3;0;9;0;12
789;0;3;0;9;0;12
790;0;3;0;7;0;8
791;0;3;0;6;0;8
792;0;3;0;5;0;10
793;0;3;0;5;0;10
794;0;0;0;5;0;8
795;0;0;0;5;0;8
796;0;0;0;6;0;8
797;0;0;0;6;0;8
798;0;0;0;7;0;8
799;0;0;0;7;0;8
800;0;2;0;7;0;8
801;0;2;0;7;0;8
802;0;2;0;8;0;11
803;0;2;0;9;0;8
804;0;2;0;10;0;10
805;0;2;0;9;0;11
806;0;2;0;8;0;7
807;0;2;0;8;0;7
808;0;3;0;9;0;8
809;0;3;0;10;0;15
810;0;4;0;6;0;7
811;0;4;0;6;0;7
812;0;3;0;8;0;8
813;0;3;0;8;0;8
814;0;3;0;8;0;10
815;0;2;0;3;0;8
816;0;1;0;3;0;7
817;0;1;0;3;0;7
818;0;1;0;9;0;9
819;0;1;0;9;0;9
820;0;2;0;9;0;22
821;0;3;0;4;0;6
822;0;0;0;8;0;9
823;0;0;0;8;0;9
824;0;3;0;10;0;16
825;0;4;0;9;0;10
826;0;3;0;6;0;9
827;0;2;0;3;0;7
828;0;3;0;10;0;10
829;0;2;0;11;0;7
830;0;3;0;8;0;8
831;0;3;0;6;0;9
832;0;3;0;5;0;6
833;0;4;0;6;0;8
834;0;2;0;10;0;12
835;0;2;0;10;0;12
836;0;1;0;11;0;16
837;0;3;0;6;0;9
838;0;3;0;5;0;5
839;0;2;0;5;0;7
840;0;2;0;9;0;8
841;0;3;0;6;0;8
842;0;3;0;6;0;10
843;0;2;0;7;0;7
844;0;2;0;6;0;8
845;0;2;0;8;0;11
846;0;0;0;6;0;10
847;0;0;0;6;0;10
848;0;1;0;11;0;9
849;0;1;0;10;0;9
850;0;3;0;11;0;10
851;0;2;0;11;0;8
852;0;2;0;8;0;12
853;0;2;0;8;0;12
854;0;1;0;9;0;10
855;0;2;0;8;0;9
856;0;2;0;10;0;6
857;0;2;0;10;0;6
858;0;2;3;7;0;8
859;0;2;0;9;0;10
860;0;3;0;9;0;11
861;0;1;6;13;0;7
862;0;0;6;12;0;4
863;0;2;4;12;0;10
864;0;3;4;11;0;10
865;0;2;4;12;0;11
866;0;2;4;13;0;9
867;0;3;4;8;0;10
868;0;2;10;13;0;7
869;0;2;11;7;0;7
870;0;2;11;7;0;7
871;0;1;10;10;0;8
872;0;2;9;8;0;10
873;0;2;10;7;0;8
874;0;2;10;7;0;8
875;0;2;0;11;0;8
876;0;1;9;7;0;12
877;0;1;9;10;0;12
878;0;2;8;6;0;15
879;0;1;9;11;0;9
880;0;1;8;10;0;9
881;0;1;8;6;0;12
882;0;2;2;11;0;7
883;0;2;0;11;0;9
884;0;2;0;9;0;7
885;0;2;0;10;0;7
886;0;1;0;8;0;7
887;0;2;0;10;0;10
888;0;1;0;11;0;11
889;0;2;0;11;0;6
890;0;1;0;12;0;10
891;0;1;0;10;0;9
892;0;1;0;9;0;9
893;0;3;0;10;0;9
894;0;3;0;10;0;9
895;0;2;0;12;0;10
896;0;1;0;10;0;6
897;0;1;9;12;0;7
898;0;1;9;13;0;10
899;0;1;9;8;0;11
900;0;1;9;8;0;11
901;0;3;7;13;0;9
902;0;2;7;14;0;9
903;0;1;2;12;0;5
904;0;1;2;15;0;7
905;0;2;4;8;0;6
906;0;1;4;13;0;8
907;0;1;4;12;0;7
908;0;2;4;12;0;7
909;0;2;0;10;0;20
910;0;3;0;11;0;9
911;0;3;0;8;0;9
912;0;1;0;13;0;4
913;0;1;0;11;0;6
914;0;1;0;8;0;7
915;0;2;0;9;0;14
916;0;3;0;12;0;10
917;0;3;0;11;0;5
918;0;3;0;11;0;4
919;0;2;0;10;0;8
920;0;0;0;12;0;7
921;0;1;0;10;0;7
922;0;1;0;9;0;9
923;0;1;0;12;0;10
924;0;1;0;9;0;12
925;0;1;0;11;0;12
926;0;1;0;11;0;12
927;0;1;8;11;0;8
928;0;1;0;8;0;13
929;0;1;0;7;0;11
930;0;2;0;9;0;15
931;0;1;0;10;0;10
932;0;1;0;12;0;12
933;0;2;0;12;0;6
934;0;1;0;10;0;8
935;0;2;0;12;0;9
936;0;2;0;12;0;9
937;0;2;0;10;0;10
938;0;1;0;9;0;11
939;0;1;0;9;0;11
940;0;1;0;9;0;14
941;0;2;0;11;0;14
942;0;2;0;11;0;8
943;0;3;0;10;0;8
944;0;3;0;12;0;4
945;0;2;0;9;0;7
946;0;2;0;8;0;7
947;0;2;0;10;0;8
948;0;2;0;10;0;8
949;0;2;0;12;0;9
950;0;1;0;9;0;14
951;0;1;0;8;0;10
952;0;3;0;8;0;7
953;0;1;0;9;0;11
954;0;1;0;9;0;11
955;0;2;0;8;0;11
956;0;3;0;12;0;6
957;0;2;0;10;0;8
958;0;2;0;10;0;8
959;0;2;0;10;0;8
960;0;1;10;7;0;9
961;0;3;10;9;0;12
962;0;1;10;10;0;13
963;0;2;9;9;0;8
964;0;3;7;9;0;9
965;0;2;7;9;0;8
966;0;2;9;12;0;13
967;0;2;9;12;0;13
968;0;2;0;11;0;11
969;0;2;0;11;0;11
970;0;1;0;7;0;11
971;0;2;8;10;0;6
972;0;2;9;7;0;14
973;0;2;9;7;0;14
974;0;2;10;7;0;10
975;0;2;10;7;0;14
976;0;2;10;6;0;14
977;0;2;10;7;0;10
978;0;2;9;7;0;13
979;0;3;10;7;0;7
980;0;1;10;7;0;10
981;0;2;10;8;0;9
982;0;2;3;6;0;8
983;0;2;3;6;0;7
984;0;2;3;6;0;12
985;0;2;3;6;0;12
986;0;2;0;6;0;6
987;0;3;0;7;0;6
